OTUid,NumberOfDetections
OTU10,2
OTU1000,5
OTU1005,2
OTU1007,2
OTU1009,2
OTU1012,2
OTU1013,8
OTU1015,2
OTU1020,7
OTU1031,3
OTU1033,2
OTU1034,2
OTU1035,2
OTU1036,4
OTU1037,5
OTU1041,2
OTU1042,30
OTU1050,6
OTU1057,5
OTU1062,4
OTU1063,3
OTU1067,2
OTU1071,2
OTU1072,2
OTU108,3
OTU1094,2
OTU1096,5
OTU110,2
OTU1103,2
OTU1114,2
OTU1116,5
OTU1117,2
OTU1119,3
OTU112,15
OTU1128,2
OTU113,7
OTU1134,2
OTU1137,2
OTU1141,2
OTU1142,2
OTU1151,2
OTU1152,2
OTU1153,2
OTU1154,3
OTU1155,6
OTU1162,2
OTU1169,2
OTU1170,2
OTU1171,3
OTU1172,2
OTU1181,2
OTU1185,3
OTU1187,2
OTU1190,2
OTU1192,3
OTU1194,4
OTU1204,3
OTU1208,2
OTU1209,2
OTU1214,3
OTU1216,2
OTU1233,4
OTU1244,2
OTU1245,2
OTU1256,3
OTU1259,3
OTU1260,4
OTU1270,3
OTU1272,2
OTU1273,2
OTU1274,2
OTU1275,2
OTU128,8
OTU1285,2
OTU1291,2
OTU1294,2
OTU1302,2
OTU1305,3
OTU131,8
OTU1319,2
OTU132,6
OTU1320,2
OTU1328,2
OTU1332,4
OTU1339,2
OTU1340,2
OTU1342,2
OTU1345,2
OTU135,3
OTU1351,3
OTU1354,2
OTU1355,2
OTU1356,2
OTU1362,2
OTU1372,3
OTU1377,2
OTU1380,2
OTU1383,2
OTU1385,2
OTU1390,4
OTU1391,2
OTU1395,2
OTU1400,2
OTU1411,2
OTU1417,2
OTU1418,2
OTU142,3
OTU1424,2
OTU1425,3
OTU1426,3
OTU143,2
OTU1432,3
OTU1435,2
OTU1441,7
OTU1442,2
OTU1443,4
OTU1446,2
OTU1463,2
OTU1469,2
OTU1470,2
OTU1472,3
OTU1474,2
OTU148,2
OTU1481,3
OTU1485,3
OTU1491,2
OTU1492,3
OTU15,3
OTU1504,2
OTU152,2
OTU1527,2
OTU1528,2
OTU1532,2
OTU1533,2
OTU1540,2
OTU1544,2
OTU155,2
OTU1559,2
OTU1587,15
OTU1588,34
OTU1589,2
OTU160,5
OTU1602,2
OTU1604,2
OTU1605,3
OTU1621,2
OTU163,2
OTU1634,2
OTU1637,2
OTU1655,2
OTU1656,2
OTU1657,3
OTU1658,2
OTU1659,2
OTU166,4
OTU1662,5
OTU1665,2
OTU167,2
OTU168,3
OTU1690,2
OTU17,2
OTU170,2
OTU1717,3
OTU172,2
OTU1721,2
OTU1723,3
OTU1725,2
OTU1728,2
OTU1729,2
OTU1740,2
OTU1742,2
OTU1747,3
OTU1752,3
OTU1759,23
OTU177,11
OTU1773,4
OTU1784,2
OTU1786,2
OTU1794,2
OTU180,6
OTU1805,2
OTU181,11
OTU1816,2
OTU1825,3
OTU1830,4
OTU1831,8
OTU1840,3
OTU1843,17
OTU1849,2
OTU1857,2
OTU1873,2
OTU1879,2
OTU1880,2
OTU19,2
OTU190,2
OTU1904,2
OTU191,4
OTU1917,2
OTU193,32
OTU1930,2
OTU1932,2
OTU1955,2
OTU1956,22
OTU1958,3
OTU196,2
OTU1960,2
OTU1961,2
OTU1964,2
OTU1968,2
OTU197,10
OTU1973,2
OTU1974,2
OTU198,2
OTU199,2
OTU20,20
OTU2015,3
OTU2018,2
OTU202,2
OTU2023,2
OTU2025,2
OTU2028,29
OTU2041,2
OTU2043,2
OTU205,3
OTU206,3
OTU2069,2
OTU207,5
OTU2098,7
OTU2101,2
OTU2105,2
OTU2106,2
OTU211,2
OTU2114,2
OTU2115,2
OTU2116,24
OTU212,4
OTU2124,2
OTU214,4
OTU2140,2
OTU215,3
OTU22,5
OTU221,5
OTU222,3
OTU224,2
OTU229,4
OTU231,2
OTU235,4
OTU24,2
OTU244,2
OTU247,7
OTU250,2
OTU256,3
OTU257,9
OTU259,3
OTU26,6
OTU260,2
OTU261,3
OTU266,5
OTU268,5
OTU270,6
OTU279,3
OTU280,3
OTU283,3
OTU29,6
OTU298,4
OTU299,5
OTU30,3
OTU301,8
OTU302,12
OTU304,6
OTU306,3
OTU309,3
OTU313,3
OTU316,2
OTU318,3
OTU32,2
OTU321,4
OTU322,5
OTU323,3
OTU324,2
OTU325,2
OTU328,8
OTU332,5
OTU334,3
OTU335,4
OTU336,2
OTU337,2
OTU339,6
OTU342,2
OTU345,2
OTU35,7
OTU352,3
OTU353,3
OTU355,4
OTU358,2
OTU359,4
OTU360,2
OTU361,35
OTU364,2
OTU366,2
OTU368,2
OTU369,2
OTU37,4
OTU371,4
OTU373,2
OTU385,2
OTU387,2
OTU39,7
OTU391,7
OTU393,3
OTU4,2
OTU401,3
OTU404,3
OTU406,6
OTU408,3
OTU409,6
OTU412,7
OTU419,4
OTU42,4
OTU421,4
OTU422,3
OTU423,8
OTU428,6
OTU430,2
OTU434,5
OTU438,4
OTU44,2
OTU454,2
OTU455,3
OTU467,4
OTU468,2
OTU469,3
OTU472,4
OTU473,4
OTU474,2
OTU477,6
OTU479,2
OTU48,2
OTU485,2
OTU487,4
OTU488,6
OTU49,4
OTU492,2
OTU495,3
OTU497,2
OTU500,2
OTU501,2
OTU505,3
OTU507,8
OTU508,2
OTU512,3
OTU516,2
OTU520,4
OTU522,2
OTU529,2
OTU53,5
OTU531,2
OTU535,2
OTU536,10
OTU537,3
OTU542,6
OTU548,3
OTU549,2
OTU55,2
OTU550,4
OTU552,6
OTU553,17
OTU555,2
OTU560,2
OTU564,7
OTU565,2
OTU567,2
OTU57,5
OTU572,3
OTU574,2
OTU575,2
OTU578,2
OTU580,2
OTU581,2
OTU591,2
OTU594,4
OTU595,4
OTU596,2
OTU6,2
OTU60,3
OTU601,2
OTU608,2
OTU616,4
OTU62,6
OTU620,3
OTU622,2
OTU623,2
OTU624,7
OTU625,2
OTU632,2
OTU642,3
OTU643,2
OTU644,3
OTU645,2
OTU647,3
OTU648,2
OTU649,2
OTU65,9
OTU650,3
OTU660,4
OTU661,3
OTU664,4
OTU666,2
OTU668,5
OTU670,4
OTU672,3
OTU676,3
OTU677,2
OTU678,2
OTU68,2
OTU682,3
OTU685,2
OTU686,4
OTU691,2
OTU695,2
OTU696,7
OTU697,5
OTU698,5
OTU70,4
OTU705,2
OTU707,6
OTU711,2
OTU714,3
OTU715,2
OTU719,10
OTU72,3
OTU725,4
OTU729,10
OTU731,4
OTU732,4
OTU733,4
OTU735,2
OTU737,7
OTU738,2
OTU742,5
OTU744,2
OTU746,3
OTU754,8
OTU759,2
OTU76,15
OTU765,3
OTU766,6
OTU768,2
OTU77,3
OTU774,2
OTU775,4
OTU778,2
OTU78,5
OTU780,2
OTU783,4
OTU784,4
OTU785,2
OTU788,2
OTU794,2
OTU795,2
OTU799,2
OTU802,5
OTU806,3
OTU808,2
OTU811,2
OTU812,3
OTU814,5
OTU816,2
OTU820,3
OTU821,4
OTU822,3
OTU824,2
OTU826,2
OTU83,2
OTU837,3
OTU847,2
OTU857,2
OTU859,3
OTU864,2
OTU874,2
OTU878,4
OTU879,2
OTU882,2
OTU884,3
OTU888,3
OTU889,2
OTU89,2
OTU891,4
OTU894,3
OTU896,3
OTU897,3
OTU905,7
OTU916,2
OTU920,2
OTU931,3
OTU941,2
OTU946,4
OTU947,2
OTU949,2
OTU953,2
OTU962,2
OTU966,2
OTU97,3
OTU971,2
OTU975,2
OTU979,4
OTU981,3
OTU982,2
OTU983,2
OTU985,2
OTU987,5
OTU990,2
OTU995,2
OTU996,3
OTU997,3
OTU998,2
OTU999,3
