Site,Date,BatSpecies,Sex,ArthropodFamily,RelativeCounts
ESCAMAQUITA,6/2/16,EPFUR,M,Blastobasidae,1
ESCAMAQUITA,6/2/16,EPFUR,M,Crambidae,1
ESCAMAQUITA,6/2/16,EPFUR,M,Culicidae,1
ESCAMAQUITA,6/2/16,EPFUR,M,Erebidae,3
ESCAMAQUITA,6/2/16,EPFUR,M,Euteliidae,1
ESCAMAQUITA,6/2/16,EPFUR,M,Noctuidae,1
ESCAMAQUITA,6/2/16,EPFUR,M,Tineidae,1
ESCAMAQUITA,6/2/16,EPFUR,M,unknown,1
ESCAMAQUITA,6/2/16,MOSI,F,Erebidae,4
ESCAMAQUITA,6/2/16,MOSI,F,Euteliidae,1
ESCAMAQUITA,6/2/16,MOSI,F,unknown,1
ESCAMAQUITA,6/2/16,PTGY,F,Crambidae,2
ESCAMAQUITA,6/2/16,PTGY,F,Erebidae,7
ESCAMAQUITA,6/2/16,PTGY,F,Euteliidae,2
ESCAMAQUITA,6/2/16,PTGY,F,Geometridae,2
ESCAMAQUITA,6/2/16,PTGY,F,Noctuidae,4
ESCAMAQUITA,6/2/16,PTPA,F,Braconidae,1
ESCAMAQUITA,6/2/16,PTPA,F,Euteliidae,1
ESCAMAQUITA,6/2/16,PTPA,F,Tineidae,1
ESCAMAQUITA,6/2/16,PTPA,F,Tortricidae,1
ESCAMAQUITA,6/2/16,PTPA,F,unknown,2
ESCAMAQUITA,6/2/16,PTPA,M,Depressariidae,2
ESCAMAQUITA,6/2/16,PTPA,M,Erebidae,5
ESCAMAQUITA,6/2/16,PTPA,M,Euteliidae,4
ESCAMAQUITA,6/2/16,PTPA,M,Gelechiidae,2
ESCAMAQUITA,6/2/16,PTPA,M,Geometridae,1
ESCAMAQUITA,6/2/16,PTPA,M,Noctuidae,2
ESCAMAQUITA,6/2/16,PTPA,M,Sphingidae,5
ESCAMAQUITA,6/2/16,PTPA,M,Tineidae,9
ESCAMAQUITA,6/2/16,PTPA,M,unknown,4
ESCAMAQUITA,6/2/16,RHBI,F,Blastobasidae,2
ESCAMAQUITA,6/2/16,RHBI,F,Coleophoridae,1
ESCAMAQUITA,6/2/16,RHBI,F,Cosmopterigidae,1
ESCAMAQUITA,6/2/16,RHBI,F,Culicidae,1
ESCAMAQUITA,6/2/16,RHBI,F,Depressariidae,1
ESCAMAQUITA,6/2/16,RHBI,F,Erebidae,1
ESCAMAQUITA,6/2/16,RHBI,F,Gelechiidae,1
ESCAMAQUITA,6/2/16,RHBI,F,unknown,11
ESCAMAQUITA,6/2/16,STPA,F,Erebidae,1
ESCAMAQUITA,6/2/16,STPA,F,Euteliidae,1
ESCAMAQUITA,6/2/16,STPA,F,Tineidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,LABL,F,Cosmopterigidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,LABL,F,Crambidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,LABL,F,Erebidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,LABL,F,Noctuidae,2
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,LABL,F,Tineidae,2
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,LABL,F,unknown,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,MOPR,F,Chrysomelidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,MOPR,F,unknown,4
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,NOLE,F,Crambidae,2
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,NOLE,F,Noctuidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,NOLE,F,Tineidae,4
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,NOLE,F,unknown,2
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTGY,M,Erebidae,2
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTGY,M,Euteliidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTGY,M,unknown,2
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,F,Cosmopterigidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,F,Crambidae,2
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,F,Culicidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,F,Erebidae,4
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,F,Gelechiidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,F,Limacodidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,F,Limoniidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,F,Noctuidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,F,Scarabaeidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,F,Stratiomyidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,F,Tineidae,9
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,F,unknown,11
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,M,Crambidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,M,Erebidae,3
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,M,Geometridae,2
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,M,Noctuidae,3
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,M,unknown,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,F,Blastobasidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,F,Chironomidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,F,Crambidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,F,Depressariidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,F,Geometridae,2
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,F,Limoniidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,F,Pyralidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,F,unknown,2
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,M,Depressariidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,M,Euteliidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,M,Limoniidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,M,Tineidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,M,unknown,3
FINCA_GUADELUPE,6/4/15,PHST,F,unknown,3
FINCA_GUADELUPE,6/4/16,STPA,F,Euteliidae,1
FINCA_GUADELUPE,6/4/16,STPA,F,unknown,1
NEW_MEXICO,noRecord,EUMA,noRecord,Erebidae,1
NEW_MEXICO,noRecord,EUMA,noRecord,Noctuidae,4
NEW_MEXICO,noRecord,EUMA,noRecord,Tachinidae,1
NEW_MEXICO,noRecord,EUMA,noRecord,Tineidae,2
NEW_MEXICO,noRecord,EUMA,noRecord,unknown,1
NICARAGUA,5/20/15,EPFUR,noRecord,Blastobasidae,1
NICARAGUA,5/20/15,EPFUR,noRecord,Cicadidae,1
NICARAGUA,5/20/15,EPFUR,noRecord,Erebidae,3
NICARAGUA,5/20/15,EPFUR,noRecord,Gelechiidae,1
NICARAGUA,5/20/15,EPFUR,noRecord,unknown,15
NICARAGUA,5/20/15,PHDI,noRecord,Cicadidae,1
NICARAGUA,5/20/15,PHDI,noRecord,Erebidae,2
NICARAGUA,5/20/15,PHDI,noRecord,Limoniidae,1
NICARAGUA,5/20/15,PHDI,noRecord,unknown,2
NICARAGUA,5/31/15,CAPE,M,Carabidae,1
NICARAGUA,5/31/15,CAPE,M,Noctuidae,1
NICARAGUA,5/31/15,CAPE,M,Tineidae,1
NICARAGUA,5/31/15,CAPE,M,unknown,4
NICARAGUA,5/31/15,CAPE,M,Ypsolophidae,1
NICARAGUA,5/31/15,EPBR?,F,Blastobasidae,2
NICARAGUA,5/31/15,EPBR?,F,Carabidae,1
NICARAGUA,5/31/15,EPBR?,F,Coleophoridae,1
NICARAGUA,5/31/15,EPBR?,F,Crambidae,1
NICARAGUA,5/31/15,EPBR?,F,Depressariidae,1
NICARAGUA,5/31/15,EPBR?,F,Erebidae,1
NICARAGUA,5/31/15,EPBR?,F,Limoniidae,4
NICARAGUA,5/31/15,EPBR?,F,unknown,6
NICARAGUA,5/31/15,EPFUR,F,Blaberidae,1
NICARAGUA,5/31/15,EPFUR,F,Erebidae,1
NICARAGUA,5/31/15,EPFUR,F,unknown,8
NICARAGUA,5/31/15,EUGL,F,Crambidae,1
NICARAGUA,5/31/15,EUGL,F,Erebidae,4
NICARAGUA,5/31/15,EUUN,F,Carabidae,1
NICARAGUA,5/31/15,EUUN,F,unknown,2
NICARAGUA,5/31/15,LAEG,F,Blastobasidae,1
NICARAGUA,5/31/15,LAEG,F,Erebidae,3
NICARAGUA,5/31/15,LAEG,F,Noctuidae,2
NICARAGUA,5/31/15,LAEG,F,unknown,1
NICARAGUA,5/31/15,MOMO,F,unknown,1
NICARAGUA,5/31/15,MOPR,F,Chironomidae,1
NICARAGUA,5/31/15,MOPR,F,unknown,3
NICARAGUA,5/31/15,NOLE,F,Euteliidae,1
NICARAGUA,5/31/15,NOLE,F,Tineidae,1
NICARAGUA,5/31/15,NOLE,F,unknown,2
NICARAGUA,5/31/15,RHDU,F,Blastobasidae,1
NICARAGUA,5/31/15,RHDU,F,Depressariidae,1
NICARAGUA,5/31/15,RHDU,F,Erebidae,1
NICARAGUA,5/31/15,RHDU,F,Muscidae,1
NICARAGUA,5/31/15,RHDU,F,Tineidae,1
NICARAGUA,5/31/15,RHDU,F,unknown,3
SARDINA,6/1/16,CAPE,F,Blastobasidae,1
SARDINA,6/1/16,CAPE,F,Coleophoridae,1
SARDINA,6/1/16,CAPE,F,Crambidae,1
SARDINA,6/1/16,CAPE,F,Erebidae,1
SARDINA,6/1/16,CAPE,F,Scarabaeidae,1
SARDINA,6/1/16,MYNI,F,Autostichidae,1
SARDINA,6/1/16,MYNI,F,Noctuidae,1
SARDINA,6/1/16,MYNI,F,unknown,3
SARDINA,6/1/16,MYNI,noRecord,unknown,1
SARDINA,6/1/16,NOAL,F,Chironomidae,1
SARDINA,6/1/16,NOAL,F,unknown,4
SARDINA,6/1/16,RHBI,F,Formicidae,1
SARDINA,6/1/16,RHBI,F,unknown,1
SARDINA,6/1/16,RHNA,F,Chironomidae,1
SARDINA,6/1/16,RHNA,F,Cosmopterigidae,1
SARDINA,6/1/16,RHNA,F,Depressariidae,1
SARDINA,6/1/16,RHNA,F,unknown,3
SARDINA,6/1/16,TRCI,F,Cicadidae,1
SARDINA,6/1/16,TRCI,F,Crambidae,1
SARDINA,6/1/16,TRCI,F,Erebidae,1
SARDINA,6/1/16,TRCI,F,Euteliidae,1
SARDINA,6/1/16,TRCI,F,Tineidae,1
SARDINA,6/1/16,TRCI,F,unknown,4
